"TABLA 34: ""INSTITUCIONES EDUCATIVAS Y SUS CARRERAS""",,,,,Vigente a partir del 01/07/2014,,
Elaborada según el Clasificador de Instituciones de Educación Superior y Técnico Productivas (v1) y el Clasificador de Carreras de Educación Superior y Técnico productivas (v1) aprobados por el Instituto Nacional de Estadística e Informática - INEI.,,,,,,,
Abreviaturas,,,,,,,
IEST : Instituto de Educación Superior Técnologica.,,,,,,,
ISP : Instituto Superior Pedagógico.,,,,,,,
ESFA : Educación Superior de Formación Artística. ,,,,,,,
UNIV: Universidad.,,,,,,,
FFAA y Policía : Escuelas e Institutos de Educación Superior Tecnológicos de las Fuerzas Armadas y Policiales.,,,,,,,
COD. REGIMEN,DESC. REGIMEN,COD. TIPO INST.,DESC. TIPO INST.,COD.  INSTITUCIÓN,DESC. INSTITUCIÓN,COD.  CARRERA,DESC. CARRERA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,526055,MANTENIMIENTO DE ESTRUCTURAS
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,526095,"MANTENIMIENTO DE MOTORES, HÉLICES Y UNIDADES DE POTENCIA AUXILIAR"
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,526115,MANTENIMIENTO Y OPERACIÓN DE ARMAMENTO Y EQUIPOS AUXILIARES
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,526105,"MANTENIMIENTO DE EQUIPOS DE APOYO TERRESTRE, VEHÍCULOS MOTORIZADOS Y CONTRAINCENDIO"
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,531025,CONSTRUCCIÓN CIVIL
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,342075,FINANZAS
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,331015,ABASTECIMIENTO
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,714035,ENFERMERÍA TÉCNICA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,716015,FARMACIA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ,224045,MÚSICA
