"TABLA 31: ""PLIEGO PRESUPUESTAL""  - SOLO PARA EMPLEADORES DEL SÉCTOR PÚBLICO",,,,,,,
CÓDIGO,DESCRIPCIÓN,DESCRIPCIÓN ABREVIADA,,,,,
10511,U.N. DE SAN ANTONIO ABAD DEL CUSCO,U.N. DE SAN ANTONIO ABAD DEL CUSCO,,,,,
10512,U.N. DE TRUJILLO,U.N. DE TRUJILLO,,,,,
10513,U.N. DE SAN AGUSTIN,U.N. DE SAN AGUSTIN,,,,,
10514,U.N. DE INGENIERIA,U.N. DE INGENIERIA,,,,,
10515,U.N. SAN LUIS GONZAGA DE ICA,U.N. SAN LUIS GONZAGA DE ICA,,,,,
10516,U.N. SAN CRISTOBAL DE HUAMANGA,U.N. SAN CRISTOBAL DE HUAMANGA,,,,,
10517,U.N. DEL CENTRO DEL PERU,U.N. DEL CENTRO DEL PERU,,,,,
10518,U.N. AGRARIA LA MOLINA,U.N. AGRARIA LA MOLINA,,,,,
10519,U.N. DE LA AMAZONIA PERUANA,U.N. DE LA AMAZONIA PERUANA,,,,,
10520,U.N. DEL ALTIPLANO,U.N. DEL ALTIPLANO,,,,,
10521,U.N. DE PIURA,U.N. DE PIURA,,,,,
10522,U.N. DE CAJAMARCA,U.N. DE CAJAMARCA,,,,,
10523,U.N. PEDRO RUIZ GALLO,U.N. PEDRO RUIZ GALLO,,,,,
10524,U.N. FEDERICO VILLARREAL,U.N. FEDERICO VILLARREAL,,,,,
10525,U.N. HERMILIO VALDIZAN,U.N. HERMILIO VALDIZAN,,,,,
10526,U.N. AGRARIA DE LA SELVA,U.N. AGRARIA DE LA SELVA,,,,,
10527,U.N. DANIEL ALCIDES CARRION,U.N. DANIEL ALCIDES CARRION,,,,,
10528,U.N. DE EDUCACION ENRIQUE GUZMAN Y VALLE,U.N. DE EDUC ENRIQUE GUZMAN Y VALLE,,,,,
10529,U.N. DEL CALLAO,U.N. DEL CALLAO,,,,,
10530,U.N. JOSE FAUSTINO SANCHEZ CARRION,U.N. JOSE FAUSTINO SANCHEZ CARRION,,,,,
10531,U.N. JORGE BASADRE GROHMANN,U.N. JORGE BASADRE GROHMANN,,,,,
10532,U.N. SANTIAGO ANTUNEZ DE MAYOLO,U.N. SANTIAGO ANTUNEZ DE MAYOLO,,,,,
10533,U.N. DE SAN MARTIN,U.N. DE SAN MARTIN,,,,,
10534,U.N. DE UCAYALI,U.N. DE UCAYALI,,,,,
10535,U.N. DE TUMBES,U.N. DE TUMBES,,,,,
10536,U.N. DEL SANTA,U.N. DEL SANTA,,,,,
