"TABLA 22:  ""INGRESOS, TRIBUTOS Y DESCUENTOS""",,,,,,,,,,,,,,,,,,
CÓDIGO,"DESCRIPCIÓN DE LOS INGRESOS, TRIBUTOS Y DESCUENTOS",EMPLEADOR,,,,,,,,TRABAJADOR,,,,,PENSIONISTA,,,
1031,OTROS CONCEPTOS 31,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1032,OTROS CONCEPTOS 32,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1033,OTROS CONCEPTOS 33,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1034,OTROS CONCEPTOS 34,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1035,OTROS CONCEPTOS 35,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1036,OTROS CONCEPTOS 36,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1037,OTROS CONCEPTOS 37,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1038,OTROS CONCEPTOS 38,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1039,OTROS CONCEPTOS 39,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
1040,OTROS CONCEPTOS 40,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,SI/NO,,
2000,RÉGIMEN LABORAL PÚBLICO,,,,,,,,,,,,,,,,,
2001,REMUNERACIÓN,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,NO,SI,NO,NO,,
2002,SALARIO OBREROS,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,NO,SI,NO,NO,,
2003,BONIFICACIÓN PERSONAL - QUINQUENIO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,NO,SI,NO,NO,,
2004,BONIFICACIÓN FAMILIAR,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,NO,SI,NO,NO,,
2005,BONIFICACIÓN DIFERENCIAL,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,NO,SI,NO,NO,,
2006,AGUINALDOS,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,NO,SI,NO,NO,,
2007,REMUNERACIÓN VACACIONAL,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,NO,SI,NO,NO,,
2008,ASIGNACIÓN POR AÑOS DE SERVICIOS,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,NO,SI,NO,NO,,
2009,BONIFICACIÓN POR ESCOLARIDAD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2010,COMPENSACIÓN POR TIEMPO DE SERVICIOS,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2011,ALIMENTACIÓN - CAFAE (3),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2012,MOVILIDAD - CAFAE (3),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2013,RACIONAMIENTO - CAFAE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2014,INCENTIVOS LABORALES - CAFAE (3),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2015,BONO JURISDICCIONAL/ BONO FISCAL,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,NO,NO,SI,NO,NO,,
2016,GASTOS OPERATIVOS DE MAGISTRADOS Y FISCALES ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Ajuste en la descripción del concepto (V 3.6),
2017,ASIGNACIÓN POR SERVICIO EXTERIOR,SI,SI,SI,SI,SI,SI,SI,NO,NO,SI,NO,NO,SI,NO,NO,,
2018,BONIFICACIÓN CONSULAR,SI,SI,SI,SI,SI,SI,SI,NO,NO,SI,NO,NO,SI,NO,NO,,
2019,ASIGNACIÓN ESPECIAL PARA DOCENTES UNIVERSITARIOS ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2020,HOMOLOGACIÓN  DE DOCENTES UNIVERSITARIOS,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,NO,NO,SI,NO,NO,,
2021,ASIGNACIÓN ESPECIAL POR LABOR PEDAGÓGICA EFECTIVA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2022,ASIGNACIÓN EXTRAORDINARIA POR TRABAJO ASISTENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2023,SERVICIOS EXTRAORDINARIOS PNP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2024,ASIGNACIONES FFAA Y PNP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2025,COMBUSTIBLE FFAA Y PNP ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2026,OTROS INGRESOS REMUNERATIVOS PERSONAL ADMINISTRATIVO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,,
2027,OTROS INGRESOS NO REMUNERATIVOS PERSONAL ADMINISTRATIVO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2028,OTROS INGRESOS REMUNERATIVOS MAGISTRADOS,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,,
2029,OTROS INGRESOS NO REMUNERATIVOS MAGISTRADOS,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2030,OTROS INGRESOS REMUNERATIVOS DOCENTES UNIVERSITARIOS,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,,
2031,OTROS INGRESOS NO REMUNERATIVOS DOCENTES UNIVERSITARIOS,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2032,OTROS INGRESOS REMUNERATIVOS PROFESORADO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,,
2033,OTROS INGRESOS NO REMUNERATIVOS PROFESORADO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2034,OTROS INGRESOS REMUNERATIVOS PROFESIONALES DE LA SALUD,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,,
2035,OTROS INGRESOS NO REMUNERATIVOS PROFESIONALES DE LA SALUD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2036,OTROS INGRESOS REMUNERATIVOS FFAA Y PNP,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,,
2037,OTROS INGRESOS NO REMUNERATIVOS FFAA Y PNP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2038,ASIGNACIÓN ESPECIAL - D.U. 126-2001,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2039,INGRESOS D.LEG. 1057 - CAS,SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,,
2040,REMUNERACIÓN POR DÍAS CON RELACIÓN LABORAL EN EL PERÍODO  DE UN CAS,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,NO,NO,SI,NO,NO,,
2041,AGUINALDOS DE JULIO Y DICIEMBRE – LEY 29351,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2042,BONIFICACIÓN ESPECIAL A SERV PUB - DU 037-94 (5),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2043,REMUNERACIÓN VACACIONAL-D.LEG. 1057-CAS,SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,,
2044,AGUNALDOS DE JULIO Y DICIEMBRE - D.LEG. 1057 - CAS(6 y 7),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2045,LICENCIA CON GOCE DE HABER - D.LEG. 1057 - CAS (6),SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,,
2046,VALORIZACIÓN PRINCIPAL - LEY 30057,SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,,
2047,VALORIZACIÓN AJUSTADA - LEY 30057,SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,,
2048,VALORIZACIÓN PRIORIZADA - LEY 30057,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2049,ENTREGA ECONÓMICA POR VACACIONES - LEY 30057,SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,,
2050,ENTREGA ECONÓMICA POR VACACIONES TRUNCAS - LEY 30057,SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,,
2051,AGUINALDOS POR FIESTAS PATRIAS Y NAVIDAD- LEY 30057 Y LEY  30334,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2052,AGUINALDOS TRUNCOS POR FIESTAS PATRIAS Y NAVIDAD- LEY 30057 Y LEY  30334,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2053,AGUINALDOS PROPORCIONALES POR FIESTAS PATRIAS Y NAVIDAD- LEY 30057 Y LEY  30334,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2054, INDEMNIZ POR DESTITUCIÓN NULA O INJUSTIFICADA - LEY 30057,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
2055,REMUNERACIÓN INTEGRAL MENSUAL - LEY 29944,SI*,NO,NO,SI*,NO,NO,NO,NO,SI*,SI*,NO,NO,SI,NO,NO,,
2056,ASIGNACIÓN POR DIRECTOR DE UNIDAD DE GESTIÓN EDUCATIVA LOCAL - LEY 29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2057,ASIGNACIÓN POR DIRECTOR DE GESTIÓN PEDAGÓGICA - LEY 29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2058,ASIGNACIÓN POR ESPECIALISTA EN EDUCACIÓN - LEY  29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2059,ASIGNACIÓN POR ESPECIALISTA EN INNOVACIÓN E INVESTIGACIÓN - LEY 29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2060,ASIGNACIÓN POR DIRECTOR DE INSTITUCIÓN EDUCATIVA - LEY 29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2061,ASIGNACIÓN POR SUB DIRECTOR DE INSTITUCIÓN EDUCATIVA - LEY 29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2062,ASIGNACIÓN POR CARGOS JERÁRQUICOS DE INSTITUCIÓN EDUCATIVA - LEY  29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2063,"ASIGNACIÓN POR SERVICIO EN INSTITUCIÓN  UNIDOCENTE, MULTIGRADO O BILINGÚE - LEY 29944",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2064,ASIGNACIÓN POR TRABAJO EN ÁMBITO RURAL O DE FRONTERA  -  LEY  29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2065,"ASIGNACIÓN POR ASESORÍA. FORMACIÓN, CAPACITACIÓN Y/O ACOMPAÑAMIENTO - LEY 29944",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2066,ASIGNACIÓN POR TIEMPO DE SERVICIOS - LEY 29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2067,ASIGNACIÓN ESPECIAL A PROFESORES DEL VRAEM - Ley 29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2068,INCENTIVO POR EXCELENCIA PROFESIONAL Y DESEMPEÑO DESTACADO - LEY 29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2069,INCENTIVO POR ESTUDIOS DE POSTGRADO - LEY  29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2070,ASIGNACIÓN DIFERENCIADA POR MAESTRÍA Y DOCTORADO - LEY 29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2071,SUBSIDIO POR LUTO Y SEPELIO - LEY 29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2072,COMPENSACIÓN EXTRAORDINARIA TRANSITORIA – LEY 29944,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2073,DIFERENCIAL SUBSIDIO PAGAGO POR LA ENTIDAD PÚBLICA - D.LEG. 1057-CAS,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,,
2074,VALORIZACIÓN PRINCIPAL - DEC.LEGISL 1153,SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2075,BONIF POR PUESTO DE RESPONS JEFAT DE DPTO O SERVICIO -DL 1153,SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2076,"BONIF POR PUESTO DE RESPONS JEFAT EN ESTABLEC DE SALUD I3, I4, MICRORREDES O REDES -DL 1153",SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2077,BONIF POR PUESTO ESPEC O DE DEDIC EXCLUS EN SERV DE SALUD PÚBLICA - DL 1153,SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2078,BONIF POR PUESTO ESPECIFICO - DL 1153,SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2079,BONIF POR PUESTO EN SERV DE SALUD PUBLICA-DL 1153,SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2080,DESCANSO VACACIONAL -- DL 1153,SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2081,DESCANSO VACACIONAL PROPORC -- DL 1153,SI,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2082,VAL PRIORIZ ZONA ALEJADA DE FRONTERA - DL 1153,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2083,VAL PRIORIZ ZONA DE EMERGENCIA  - DL 1153,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2084,VAL PRIORIZ ATENCIÓN PRIMARIA DE SALUD  - DL 1153,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2085,VAL PRIORIZ ATENCIÓN ESPECIALIZADA  - DL 1153,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2086,VAL PRIORIZ ATENCIÓN EN SERV CRÍTICOS  - DL 1153,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2087,VAL PRIORIZ ATENCIÓN ESPEC DE SOPORTE  - DL 1153,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2088,SERVICIOS DE GUARDIA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2089,SERVV COMPLEMENTARIO EN SALUD - DL 1153,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2090,ENTREGA ECON POR 25 AÑOS DE SERVICIO - DL 1153,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2091,ENTREGA ECON POR 30  AÑOS DE SERVICIO - DL 1153,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2092,ENTREGA ECON POR LUTO Y SEPELIO - DL 1153,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2093,"ASIGN POR CUMPLIM DE METAS INST, INDIC DESEMP - DL 1153",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
2094,GASTOS OPERATIVOS DE MAGISTRADOS Y FISCALES  NO CONSTITUYE CONDICIÓN DE TRABAJO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
2095,MONTO ÚNICO CONSOLIDADO (MUC) DU 038-2019,SI,NO,NO,SI,NO,NO,SI,NO,SI,SI,SI,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME,
2096,ASIGNACIÓN POR CUMPLIR 25 AÑOS DE SERV DU 038-2019,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME,
2097,ASIGNACIÓN POR CUMPLIR 30 AÑOS DE SERV DU 038-2019,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME,
2098,ASIGNACIÓN POR LUTO Y SEPELIO DU 038-2019,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME,
2099,BET FIJO IMPONIBLE (DL 276),SI,NO,NO,SI,NO,NO,SI,NO,SI,SI,SI,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2100,BET FIJO NO IMPONIBLE (DL 276),NO,NO,NO,SI,NO,NO,SI,NO,SI,SI,SI,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2101,BET VARIABLE BONIFICACIÓN FAMILIAR (DL 276),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2102,BET VARIABLE BONIFICACIÓN DIFERENCIAL PERMANENTE (DL 276),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2103,BET VARIABLE BONIFICACIÓN DIFERENCIAL TEMPORAL (DL 276),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2104,BET VARIABLE CENTROS DE PRODUC Y SIMILARES (DL 276),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2105,BET VARIABLE OTROS DETERMIN POR LA DGGFRH (DL 276),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2106,COMPENSACIÓN POR VACACIONES TRUNCAS DU 38-2019 (DL 276),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2107,SUBSIDIO POR GASTOS DE SEPELIO (DL 276),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2108,MUC Y BET AFECTO A CARGAS SOCIALES NOTIF EN RD,SI,NO,NO,SI,NO,NO,SI,NO,SI,SI,SI,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2109,MUC Y BET NO AFECTO A CARGAS SOCIALES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2110,ASIGNACIÓN POR DESEMPEÑO EN PUESTOS DE GESTIÓN PEDAGÓGICA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2111,ASIG POR DESEMPEÑO EN PUESTO DE DIRECTOR GRAL (EESP),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2112,"BONIF POR INSTIT EDUC UNIDOCENTE, MULTIGRADO O BILINGÜE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2113,BONIF. POR PRESTAR SERVICIO EN ÁMBITO RURAL O FRONTERA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2114,BONIFICACIÓN POR PALMAS MAGISTERIALES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2115,PREMIO ANUAL POR RESULTADOS DESTACADOS,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2116,BONO DE INCENTIVO AL DESEMPEÑO ESCOLAR,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.1 del PDT PLAME Optimiz 1,
2117,ASIG ESPECIAL POR DESEMPEÑO EN ZONAS CATEGORIZADAS,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.3 del PDT PLAME Release 3,
2118,ASIG POR DESEMPEÑO COMO JEFE DE ÓRGANO DE CONTROL INSTITUCIONAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 4.3 del PDT PLAME Release 3,
Nota importante:,,,FFAA =,Fuerzas Armadas,,,CAFAE =,Comité de Administración del Fondo de Asistencia y Estímulo,,,,,,,,,,
SI = Concepto con afectación,,,PNP =,Policia Nacional del Perú,,,,,,,,,,,,,,
NO = Concepto sin afectación,,,,,,,,,,,,,,,,,,
"En el caso que se utilicen los códigos 1001 al 1020 (""Otros Conceptos""), estos pueden ser definidos libremente por el Empleador, debiéndose consignar obligatoriamente la descripción del concepto habilitado.",,,,,,,,,,,,,,,,,,
" la descripción del concepto remunerativo y/o no remunerativo, así como su afectación.",,,,,,,,,,,,,,,,,,
" (1) La asignación o bonificación por educación no están gravadas con las aportaciones a EsSalud, siempre que sean por un monto razonable y se encuentren debidamente sustentadas.",,,,,,,,,,,,,,,,,,
 (2) La asignación es distinta a las comprendidas en el inciso g) del articulo 19° de la Ley de Compensación por tiempo de Servicios.,,,,,,,,,,,,,,,,,,
 (3) Conceptos enmarcados dentro de lo dispuesto en el Decreto Supremo N° 005-90-PCM.,,,,,,,,,,,,,,,,,,
 (4) El incentivo que no está gravado es el contemplado en el articulo 18° de la Ley del Impuesto a la Renta.,,,,,,,,,,,,,,,,,,
(5) Concepto sustituido por la R.S. N.° 290-2012/SUNAT. (Publicado el 8.12.2012),,,,,,,,,,,,,,,,,,
"(6) Conceptos contemplados en la Ley Nº 29849 vigente a partir del 07/04/2012, norma que otorgó derechos adicionales a los prestadores CAS.  Incorporadoen el PDT PLAME V2.4.",,,,,,,,,,,,,,,,,,
(7) Concepto que se encuentra incluido dentro del ámbito de aplicación de la Ley Nº 29351 y su norma modificatoria. Incorporado en el PDT PLAME V 2.4.,,,,,,,,,,,,,,,,,,
(8) Derogado por la Ley N.° 28378. Se mantiene vigente para empresas privadas que hayan suscrito Convenios de Estabilidad que incluya el IES (que sustituyó al FONAVI).,,,,,,,,,,,,,,,,,,
600,APORTACIONES DEL TRABAJADOR / PENSIONISTA,,,,,,,,,,,,,,,,,
601,SISTEMA PRIVADO DE PENSIONES - COMISIÓN PORCENTUAL,,,,,,,,,,,,,,,,,
602,CONAFOVICER,,,,,,,,,,,,,,,,,
603,CONTRIBUCIÓN SOLIDARIA PARA LA ASISTENCIA PREVISIONAL,,,,,,,,,,,,,,,,,
604,ESSALUD +VIDA,,,,,,,,,,,,,,,,,
605,RENTA QUINTA CATEGORÍA RETENCIONES,,,,,,,,,,,,,,,,,
606,SISTEMA PRIVADO DE PENSIONES - PRIMA DE SEGURO,,,,,,,,,,,,,,,,,
607,SISTEMA NACIONAL DE PENSIONES - D.L.19990,,,,,,,,,,,,,,,,,
608,SISTEMA PRIVADO DE PENSIONES - APORTACIÓN OBLIGATORIA,,,,,,,,,,,,,,,,,
609,SISTEMA PRIVADO DE PENSIONES - APORTACIÓN VOLUNTARIA,,,,,,,,,,,,,,,,,
610,ESSALUD - SEGURO REGULAR - PENSIONISTA,,,,,,,,,,,,,,,,,
611,OTROS APORTACIONES DEL TRABAJADOR / PENSIONISTA,,,,,,,,,,,,,,,,,
