"TABLA 22:  ""INGRESOS, TRIBUTOS Y DESCUENTOS""",,,,,,,,,,,,,,,,,,
CÓDIGO,"DESCRIPCIÓN DE LOS INGRESOS, TRIBUTOS Y DESCUENTOS",EMPLEADOR,,,,,,,,TRABAJADOR,,,,,PENSIONISTA,,,
205,ASIGNACIÓN  POR NACIMIENTO DE HIJOS,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,,
206,ASIGNACIÓN POR FALLECIMIENTO DE FAMILIARES,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,,
207,ASIGNACIÓN POR OTROS MOTIVOS PERSONALES (2),SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
208,ASIGNACIÓN POR FESTIVIDAD,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,,
209,ASIGNACIÓN PROVISIONAL POR DEMANDA DE TRABAJADOR DESPEDIDO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,,
210,ASIGNACIÓN VACACIONAL,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
211,ASIGNACIÓN POR ESCOLARIDAD 30 JORNALES BASICOS/AÑO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,,
212,ASIGNACIONES OTORGADAS POR ÚNICA VEZ CON MOTIVO DE CIERTAS CONTINGENCIAS,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,,
213,ASIGNACIONES OTORGADAS REGULARMENTE,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
214,ASIGNACIÓN POR FALLECIMIENTO 1 UIT,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,,
300,INGRESOS: BONIFICACIONES,,,,,,,,,,,,,,,,,
301,BONIFICACIÓN POR 25 Y 30 AÑOS DE SERVICIOS,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
302,BONIFICACIÓN POR CIERRE DE PLIEGO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,,
303,"BONIFICACIÓN POR PRODUCCIÓN, ALTURA, TURNO, ETC.",SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
304,BONIFICACIÓN POR RIESGO DE CAJA,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
