"TABLA 30 ""OCUPACIÓN APLICABLE A LOS EMPLEADORES DEL SECTOR PRIVADO"".",,,,,,,,,,,,
"Dependiendo de la Categoría Ocupacional que se seleccione, se habilitarán los códigos de Ocupación.",,,,,,,,,,,,
(1) Código que puede ser asumido para la Categoría Ocupacional y (0) No se habilita el registro de esta Ocupación para la Categoría Ocupacional. ,,,,,,,,,,,,
Código,NOMBRE,Ejecutivo,Empleado,Obrero,,,,,,,,
126003,"DIRECTOR GENERAL, EMPRESA/ALMACENAMIENTO",1,1,0,,,,,,,,
126004,"DIRECTOR GENERAL, EMPRESA/COMUNICACIONES",1,1,0,,,,,,,,
126005,"DIRECTOR GENERAL, EMPRESA/TRANSPORTE",1,1,0,,,,,,,,
126006,"DIRECTOR GENERAL, ORGANIZACION/TRANSPORTE",1,1,0,,,,,,,,
126007,"GERENTE GENERAL, EMPRESA/ALMACENAMIENTO",1,1,0,,,,,,,,
126008,"GERENTE GENERAL, EMPRESA/COMUNICACIONES",1,1,0,,,,,,,,
126009,"GERENTE GENERAL, EMPRESA/TRANSPORTE",1,1,0,,,,,,,,
126010,"GERENTE GENERAL, ORGANIZACION/TRANSPORTE",1,1,0,,,,,,,,
126012,"PRESIDENTE DEL DIRECTORIO, TRANSPORTE, ALMACENAMIENTO Y COM",1,1,0,,,,,,,,
127001,"DIRECTOR DE EMPRESAS, DE SERVICIOS PUBLICOS Y FINANCIEROS",1,1,0,,,,,,,,
127002,"DIRECTOR EJECUTIVO, EMPRESA, DE SERVICIOS PUBLICOS Y FINANC",1,1,0,,,,,,,,
127003,"DIRECTOR GENERAL, EMPRESA/ACTIVIDADES CULTURALES",1,1,0,,,,,,,,
127004,"DIRECTOR GENERAL, EMPRESA/ACTIVIDADES DEPORTIVAS",1,1,0,,,,,,,,
127005,"DIRECTOR GENERAL, EMPRESA/ACTIVIDADES RECREATIVAS",1,1,0,,,,,,,,
127006,"DIRECTOR GENERAL, EMPRESA/AGENCIA DE VIAJES",1,1,0,,,,,,,,
127007,"DIRECTOR GENERAL, EMPRESA/INTERMEDIACION FINANCIERA",1,1,0,,,,,,,,
127008,"DIRECTOR GENERAL, EMPRESA/LIMPIEZA",1,1,0,,,,,,,,
127009,"DIRECTOR GENERAL, EMPRESA/SERVICIO DE EMPRESA",1,1,0,,,,,,,,
127010,"DIRECTOR GENERAL, EMPRESA/SERVICIO DE SANIDAD",1,1,0,,,,,,,,
127011,"DIRECTOR GENERAL, EMPRESA/TRABAJO SOCIAL",1,1,0,,,,,,,,
127012,"DIRECTOR GENERAL, ORGANIZACION/ACTIVIDADES CULTURALES",1,1,0,,,,,,,,
127013,"DIRECTOR GENERAL, ORGANIZACION/ACTIVIDADES DEPORTIVAS",1,1,0,,,,,,,,
127014,"DIRECTOR GENERAL, ORGANIZACION/ACTIVIDADES RECREATIVAS",1,1,0,,,,,,,,
127015,"DIRECTOR GENERAL, ORGANIZACION/AGENCIA DE VIAJES",1,1,0,,,,,,,,
127016,"DIRECTOR GENERAL, ORGANIZACION/INTERMEDIACION FINANCIERA",1,1,0,,,,,,,,
127017,"DIRECTOR GENERAL, ORGANIZACION/LIMPIEZA",1,1,0,,,,,,,,
127018,"DIRECTOR GENERAL, ORGANIZACION/SERVICIO DE EMPRESA",1,1,0,,,,,,,,
127019,"DIRECTOR GENERAL, ORGANIZACION/SERVICIO DE SANIDAD",1,1,0,,,,,,,,
127020,"DIRECTOR GENERAL, ORGANIZACION/TRABAJO SOCIAL",1,1,0,,,,,,,,
127021,"GERENTE GENERAL, EMPRESA/ACTIVIDADES CULTURALES",1,1,0,,,,,,,,
127022,"GERENTE GENERAL, EMPRESA/ACTIVIDADES DEPORTIVAS",1,1,0,,,,,,,,
127023,"GERENTE GENERAL, EMPRESA/ACTIVIDADES RECREATIVAS",1,1,0,,,,,,,,
127024,"GERENTE GENERAL, EMPRESA/AGENCIA DE VIAJES",1,1,0,,,,,,,,
127025,"GERENTE GENERAL, EMPRESA/INTERMEDIACION FINANCIERA",1,1,0,,,,,,,,
127026,"GERENTE GENERAL, EMPRESA/LIMPIEZA",1,1,0,,,,,,,,
127027,"GERENTE GENERAL, EMPRESA/SERVICIO DE EMPRESA",1,1,0,,,,,,,,
127028,"GERENTE GENERAL, EMPRESA/SERVICIO DE SANIDAD",1,1,0,,,,,,,,
127029,"GERENTE GENERAL, EMPRESA/TRABAJO SOCIAL",1,1,0,,,,,,,,
127030,"GERENTE GENERAL, ORGANIZACION/ACTIVIDADES CULTURALES",1,1,0,,,,,,,,
127031,"GERENTE GENERAL, ORGANIZACION/ACTIVIDADES DEPORTIVAS",1,1,0,,,,,,,,
127032,"GERENTE GENERAL, ORGANIZACION/ACTIVIDADES RECREATIVAS",1,1,0,,,,,,,,
127033,"GERENTE GENERAL, ORGANIZACION/AGENCIA DE VIAJES",1,1,0,,,,,,,,
127034,"GERENTE GENERAL, ORGANIZACION/INTERMEDIACION FINANCIERA",1,1,0,,,,,,,,
127035,"GERENTE GENERAL, ORGANIZACION/LIMPIEZA",1,1,0,,,,,,,,
127036,"GERENTE GENERAL, ORGANIZACION/SERVICIO DE EMPRESA",1,1,0,,,,,,,,
127037,"GERENTE GENERAL, ORGANIZACION/SERVICIO DE SANIDAD",1,1,0,,,,,,,,
127038,"GERENTE GENERAL, ORGANIZACION/TRABAJO SOCIAL",1,1,0,,,,,,,,
127040,"PRESIDENTE DEL DIRECTORIO, SERVICIOS PUBLICOS Y FINANCIEROS",1,1,0,,,,,,,,
129004,GERENTE DE PLANTA,1,1,0,,,,,,,,
129005,GERENTE DE PRODUCCION,1,1,0,,,,,,,,
129006,GERENTE INDUSTRIAL,1,1,0,,,,,,,,
136001,DECANO,1,1,0,,,,,,,,
136002,DECANO DE FACULTAD,1,1,0,,,,,,,,
136003,DIRECTOR DE CENTRO EDUCATIVO,1,1,0,,,,,,,,
136004,DIRECTOR DE ESCUELA PROFESIONAL,1,1,0,,,,,,,,
136005,"DIRECTOR DE ESEP/SENATI, ETC.",1,1,0,,,,,,,,
136007,DIRECTOR DE INSTITUTO ACADEMICO,1,1,0,,,,,,,,
136008,DIRECTOR DE NUCLEOS EDUCATIVOS COMUNALES,1,1,0,,,,,,,,
136010,DIRECTOR DEPARTAMENTAL DE EDUCACION,1,1,0,,,,,,,,
136012,RECTOR,1,1,0,,,,,,,,
136013,VICE-RECTOR,1,1,0,,,,,,,,
137005,GERENTE DE ADMINISTRACION,1,1,0,,,,,,,,
137006,GERENTE DE CREDITOS,1,1,0,,,,,,,,
139010,GERENTE DE COMERCIALIZACION,1,1,0,,,,,,,,
139011,GERENTE DE VENTAS,1,1,0,,,,,,,,
141001,"GERENTE, AGRICULTURA",1,1,0,,,,,,,,
141002,"GERENTE, CAZA",1,1,0,,,,,,,,
141003,"GERENTE, EXPLOTACION: AGRICOLA, FORESTAL Y PECUARIA",1,1,0,,,,,,,,
141004,"GERENTE, PESCA",1,1,0,,,,,,,,
141005,"GERENTE, SILVICULTURA",1,1,0,,,,,,,,
142001,"GERENTE, EXPLOTACION DE MINAS Y CANTERAS",1,1,0,,,,,,,,
142002,"GERENTE, INDUSTRIA MANUFACTURERA",1,1,0,,,,,,,,
142003,"GERENTE, SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA",1,1,0,,,,,,,,
143001,"GERENTE, CONSTRUCCION",1,1,0,,,,,,,,
144003,"GERENTE, COMERCIO MAYORISTA",1,1,0,,,,,,,,
144004,"GERENTE, COMERCIO MAYORISTA/ EXPORTACION",1,1,0,,,,,,,,
144005,"GERENTE, COMERCIO MAYORISTA/ IMPORTACION",1,1,0,,,,,,,,
144006,"GERENTE, COMERCIO MINORISTA",1,1,0,,,,,,,,
144007,"GERENTE, COMERCIO MINORISTA/ CADENA DE ALMACENES",1,1,0,,,,,,,,
144008,"GERENTE, COMERCIO MINORISTA/ TIENDAS",1,1,0,,,,,,,,
144009,"GERENTE, COMERCIO MINORISTA/ TIENDAS (AUTOSERVICIO)",1,1,0,,,,,,,,
144010,"GERENTE, COMERCIO MINORISTA/ TIENDAS (VENTAS CON DESCUENTOS",1,1,0,,,,,,,,
144011,"GERENTE, COMERCIO MINORISTA/ TIENDAS (VENTAS POR CORREO)",1,1,0,,,,,,,,
144012,"GERENTE REPARACION DE VEHICULOS, AUTO MOTORES, MOTOCICLETAS",1,1,0,,,,,,,,
144013,"GERENTE, TIENDA",1,1,0,,,,,,,,
145005,"GERENTE, COMERCIO NEP",1,1,0,,,,,,,,
146001,"GERENTE, ALBERGUE/ JOVENES",1,1,0,,,,,,,,
146002,"GERENTE, BAR/DISCOTECA Y SNACK BAR",1,1,0,,,,,,,,
146003,"GERENTE, CAFE-TEATRO",1,1,0,,,,,,,,
146004,"GERENTE, CAFETERIA",1,1,0,,,,,,,,
146005,"GERENTE, CAMPAMENTO/ VACACIONES",1,1,0,,,,,,,,
146006,"GERENTE, CANTINA/ EMPRESA",1,1,0,,,,,,,,
146007,"GERENTE, CASA DE HUESPEDES",1,1,0,,,,,,,,
146008,"GERENTE, FONDA",1,1,0,,,,,,,,
146009,"GERENTE, HOSTELERIA",1,1,0,,,,,,,,
146010,"GERENTE, HOTEL",1,1,0,,,,,,,,
146011,"GERENTE, MOTEL",1,1,0,,,,,,,,
146012,"GERENTE, PARQUE DE CARAVANAS",1,1,0,,,,,,,,
146013,"GERENTE, PENSION",1,1,0,,,,,,,,
146014,"GERENTE, PEÑA",1,1,0,,,,,,,,
146015,"GERENTE, RESTAURANTE",1,1,0,,,,,,,,
146016,"GERENTE, RESTAURANTE-BAR",1,1,0,,,,,,,,
146017,"GERENTE, RESTAURANTE/ AUTOSERVICIO",1,1,0,,,,,,,,
146018,"GERENTE, SNACK-BAR",1,1,0,,,,,,,,
146019,"GERENTE, TABERNA",1,1,0,,,,,,,,
147001,"GERENTE, ALMACENAMIENTO",1,1,0,,,,,,,,
147002,"GERENTE, COMUNICACIONES",1,1,0,,,,,,,,
147003,"GERENTE, TRANSPORTE",1,1,0,,,,,,,,
145003,"CONCESIONARIO-ADM., REST. Y CAFETERIA (FAB. Y OFIC.)",1,1,0,,,,,,,,
145004,"CONCESIONARIO-ADM., REST. Y BAR/CAFETERIA (TREN, BARCO, AVI",1,1,0,,,,,,,,
211001,ASTROFISICO,1,1,0,,,,,,,,
211002,ASTRONOMO,1,1,0,,,,,,,,
211003,FISICO,1,1,0,,,,,,,,
211004,"FISICO, ACUSTICA",1,1,0,,,,,,,,
211005,"FISICO, ELECTRICIDAD Y MAGNETISMO",1,1,0,,,,,,,,
211006,"FISICO, ELECTRONICA",1,1,0,,,,,,,,
211007,"FISICO, ESTATICA",1,1,0,,,,,,,,
211008,"FISICO, ENERGIA SOLAR (NO CONVENCIONAL)",1,1,0,,,,,,,,
211009,"FISICO, ENERGIA NUCLEAR",1,1,0,,,,,,,,
211010,"FISICO, FISICA NUCLEAR",1,1,0,,,,,,,,
211011,"FISICO, FISICA TEORICA",1,1,0,,,,,,,,
211012,"FISICO, MATEMATICO",1,1,0,,,,,,,,
211013,"FISICO, MECANICA",1,1,0,,,,,,,,
211014,"FISICO, OPTICA",1,1,0,,,,,,,,
211015,"FISICO, SONIDO",1,1,0,,,,,,,,
211016,"FISICO, TERMODINAMICA",1,1,0,,,,,,,,
211017,"FISICO, OTRO",1,1,0,,,,,,,,
212001,COSMOGRAFO,1,1,0,,,,,,,,
212002,COSMOLOGO,1,1,0,,,,,,,,
212003,CLIMATOLOGO,1,1,0,,,,,,,,
212004,METEOROLOGO,1,1,0,,,,,,,,
212005,"METEOROLOGO, CLIMATOLOGIA",1,1,0,,,,,,,,
212006,"METEOROLOGO, PREVISION DEL TIEMPO",1,1,0,,,,,,,,
213001,QUIMICO,1,1,0,,,,,,,,
213002,QUIMICO ANALISTA,1,1,0,,,,,,,,
213003,"QUIMICO, COLORANTES",1,1,0,,,,,,,,
213004,"QUIMICO, CONTROL DE CALIDAD",1,1,0,,,,,,,,
213005,"QUIMICO, CORROSION",1,1,0,,,,,,,,
213006,"QUIMICO, CUEROS Y PIELES",1,1,0,,,,,,,,
213007,"QUIMICO, DETERGENTES",1,1,0,,,,,,,,
213008,"QUIMICO, ELECTROQUIMICA",1,1,0,,,,,,,,
213009,"QUIMICO, FARMACIA",1,1,0,,,,,,,,
213010,"QUIMICO, FARMACIA/ INDUSTRIA",1,1,0,,,,,,,,
213011,"QUIMICO, FISICA/OTROS",1,1,0,,,,,,,,
213012,"QUIMICO, INDUSTRIA DEL VIDRIO",1,1,0,,,,,,,,
213013,"QUIMICO, INDUSTRIA METALURGICA",1,1,0,,,,,,,,
213014,"QUIMICO, QUIMICA ANALITICA",1,1,0,,,,,,,,
213015,"QUIMICO, QUIMICA INORGANICA",1,1,0,,,,,,,,
213016,"QUIMICO, QUIMICA MINERAL",1,1,0,,,,,,,,
213017,"QUIMICO, QUIMICA ORGANICA",1,1,0,,,,,,,,
213018,"QUIMICO, TEXTILES",1,1,0,,,,,,,,
213019,"QUIMICO, TINTURAS",1,1,0,,,,,,,,
213020,"QUIMICO, OTROS (NO INCLUYE ING. QUIMICO)",1,1,0,,,,,,,,
