,"TABLA 37:  ""ORGANIZACIONES SINDICALES DE SERVIDORES PÚBLICOS""",,,,,,,
,Resolución Ministerial N° 286-2023-TR,,,,,,,
Ord.,CÓDIGO DE ORGANIZACIÓN SINDICAL DE SERVIDORES PUBLICOS,NOMBRE DE LA ORGANIZACIÓN SINDICAL DE SERVIDORES PUBLICOS,CÓDIGO DE LA ORGANIZACIÓN SINDICAL DE SERVIDORES DE PUBLICOS DE ORDEN SUPERIOR,NIVEL DE ORGANIZACIÓN SINDICAL DE SERVIDORES PUBLICOS,RUC DEL EMPLEADOR,Fecha de incorporación,Fecha de modificación,Fecha de Cancelación  o baja
28,20163710,FEDERACION CENTRO UNION DE TRABAJADORES DEL SEGURO SOCIAL DE SALUD,,FEDERACIÓN,,2023-07-16 18:56:26,,
29,20063234,FEDERACION CENTRO UNION DE TRABAJADORES DEL SEGURO SOCIAL DE SALUD ESSALUD DEL PERU-FED-CUT-ESSALUD,20073307,FEDERACIÓN,,2023-07-16 18:56:26,2026-05-25 23:59:01,
30,20212003,FEDERACION CENTRO UNION DE TRABAJADORES DEL SEGURO SOCIAL DE SALUD ESSALUD DEL PERU- BASE OFICINA DE ADMINISTRACION CAJAMARCA,,FEDERACIÓN,,2023-07-16 18:56:26,,
31,20181938,FEDERACION CENTRO UNION DE TRABAJADORES DEL SEGURO SOCIAL ESSALUD DEL PERU,,FEDERACIÓN,,2023-07-16 18:56:26,,
32,20234188,FEDERACION DE DOCENTES DE LAS UNIVERSIDADES PUBLICAS DEL PERU-FENDUPP HISTORICA,20223912,FEDERACIÓN,,2023-07-16 18:56:26,2026-01-26 12:05:20,
33,20093405,FEDERACION DE ENFERMERAS DEL MINISTERIO DE SALUD DEL PERU,,FEDERACIÓN,,2023-07-16 18:56:26,,
34,20092758,FEDERACION DE ENFERMERAS REGION AREQUIPA,,FEDERACIÓN,,2023-07-16 18:56:26,,
35,20183754,FEDERACION DE ENFERMEROS DEL PERU-FEP,,FEDERACIÓN,,2023-07-16 18:56:26,,
36,20191982,FEDERACION DE SEDES ADMINISTRATIVAS DE LA EDUCACION DE LA REGION CAJAMARCA- FESADER-CAJ,20213847,FEDERACIÓN,,2023-07-16 18:56:26,2025-09-17 18:09:10,
37,20213855,FEDERACION DE MAESTROS DEL PERU-FEMAPE,,FEDERACIÓN,,2023-07-16 18:56:26,,
38,20173725,FEDERACION DE NUTRICIONISTAS DEL PERU-MINSA,,FEDERACIÓN,,2023-07-16 18:56:26,,
39,20192840,FEDERACION DE SEDES ADMINISTRATIVAS DE EDUCACION DEL PERU-REGION AREQUIPA-BASE DE LA FESADEP NACIONAL,20213847,FEDERACIÓN,,2023-07-16 18:56:26,2025-09-17 18:09:10,
40,20180135,FEDERACION DE SEDES ADMINISTRATIVAS DE EDUCACION REGION LA LIBERTAD- FESADERLL,20213847,FEDERACIÓN,,2023-07-16 18:56:26,2025-09-17 18:09:10,
41,20053194,FEDERACION DE SEDES ADMINISTRATIVAS DE LA EDUCACION DEL PERU-FESADEP,20213847,FEDERACIÓN,,2023-07-16 18:56:26,2025-09-17 18:09:10,
42,20163700,FEDERACION DE SERVIDORES ADMINISTRATIVOS DE EDUCACION SUPERIOR DEL PERU FASES-PERU,20073307,FEDERACIÓN,,2023-07-16 18:56:26,2025-01-10 10:29:07,
43,20213827,FEDERACION DE SINDICATOS DEL BANCO DE LA NACION,20244799,FEDERACIÓN,,2023-07-16 18:56:26,2024-12-26 14:58:40,
44,20073287,FEDERACION DE SINDICATOS UNITARIO DE TRABAJADORES DEL SECTOR AGRARIO - FESUTSA,,FEDERACIÓN,,2023-07-16 18:56:26,,
45,20223955,FEDERACION DE TRABAJADORES ADMINISTRATIVOS DE EDUCACION DE LIMA METROPOLITANA - FETAELM,20133574,FEDERACIÓN,,2023-07-16 18:56:26,2026-01-07 06:19:46,
46,20052741,FEDERACION DE TRABAJADORES ADMINISTRATIVOS DEL SECTOR EDUCACION-REGION AREQUIPA,20133574,FEDERACIÓN,,2023-07-16 18:56:26,2024-12-26 14:58:40,
47,20152583,FEDERACION DE TRABAJADORES ADMINISTRATIVOS DEL SECTOR EDUCACION DE LA REGION ANCASH-FENTASE REGION ANCASH,20133574,FEDERACIÓN,,2023-07-16 18:56:26,2024-12-26 14:58:40,
48,20220722,FEDERACION DE TRABAJADORES ADMINISTRATIVOS DEL SECTOR EDUCACION DE LA REGION DE HUANUCO FENTASE REGION HUANUCO,20133574,FEDERACIÓN,,2023-07-16 18:56:26,2024-12-26 14:58:40,
49,20191033,FEDERACION DE TRABAJADORES ADMINISTRATIVOS DEL SECTOR EDUCACION DE LA REGION DE PASCO,20133574,FEDERACIÓN,,2023-07-16 18:56:26,2024-12-26 14:58:40,
50,20234303,FEDERACION DE TRABAJADORES ADMINISTRATIVOS DEL SECTOR EDUCACION DE LIMA METROPOLITANA - FETRASELM,,FEDERACIÓN,,2023-07-16 18:56:26,,
51,20063271,FEDERACION DE TRABAJADORES ADMINISTRATIVOS DEL SECTOR EDUCACION DEL PERU-FETRASEP,20244799,FEDERACIÓN,,2023-07-16 18:56:26,2024-12-26 14:58:40,
52,20113457,FEDERACION DE TRABAJADORES DE BENEFICIENCIAS PUBLICAS DEL PERU,,FEDERACIÓN,,2023-07-16 18:56:26,,
53,20120071,FEDERACION DE TRABAJADORES DE LA BENEFICENCIA MACRO REGION NORTE,,FEDERACIÓN,,2023-07-16 18:56:26,,
54,20144306,FEDERACION DE TRABAJADORES DE LA CORPORACION DE LA MUNICIPALIDAD METROPOLITANA DE LIMA -FETRACMUL,,FEDERACIÓN,,2023-07-16 18:56:26,,
55,20122555,FEDERACION DE TRABAJADORES DE LA PROVINCIA DEL SANTA - FETRAPSA,,FEDERACIÓN,,2023-07-16 18:56:26,,
56,20214312,FEDERACION DE TRABAJADORES DEL MINISTERIO PUBLICO DE LAS REGIONES LIMA Y CALLAO-FETRAMIP REGION LIMA-CALLAO,20244799,FEDERACIÓN,,2023-07-16 18:56:26,2026-02-12 09:05:25,
57,20123613,FEDERACION DE TRABAJADORES DEL PODER JUDICIAL - FETRAPOJ,,FEDERACIÓN,,2023-07-16 18:56:26,,
58,20213884,FEDERACION DE TRABAJADORES DEL REGIMEN DE CONTRATACION ADMINISTRATIVO DE SERVICIOS DE LA SUNARP - FENTRACAS - SUNARP,20053180,FEDERACIÓN,,2023-07-16 18:56:26,2026-01-07 06:19:46,
59,20053208,FEDERACION DE TRABAJADORES DEL SISTEMA NACIONAL DE LOS REGISTROS PUBLICOS- FETRASINARP,,FEDERACIÓN,,2023-07-16 18:56:26,,
60,20203811,FEDERACION DE TRABAJADORES EN SERENAZGO Y AFINES DEL PERU -FETRASERPERU,,FEDERACIÓN,,2023-07-16 18:56:26,,
61,20144133,FEDERACION DE TRABAJADORES ESTATALES DE LA REGION HUANCAVELICA,20223889,FEDERACIÓN,,2023-07-16 18:56:26,2026-02-12 09:05:25,
62,20123515,FEDERACION DE TRABAJADORES MUNICIPALES CONTRATADOS DE LIMA METROPOLITANA - FETRAMUC - LIMA,,FEDERACIÓN,,2023-07-16 18:56:26,,
63,20223066,FEDERACION DE TRABAJADORES MUNICIPALES DE LA REGION AREQUIPA FETRAMUR AREQUIPA,,FEDERACIÓN,,2023-07-16 18:56:26,,
64,20051721,FEDERACION DE TRABAJADORES MUNICIPALES DE LA REGION CAJAMARCA,,FEDERACIÓN,,2023-07-16 18:56:26,,
65,20140775,FEDERACION DE TRABAJADORES MUNICIPALES DE LA REGION ICA-FETRAMUR-ICA,,FEDERACIÓN,,2023-07-16 18:56:26,,
66,20110231,FEDERACION DE TRABAJADORES MUNICIPALES DE LA REGION JUNIN,,FEDERACIÓN,,2023-07-16 18:56:26,,
67,20112976,FEDERACION DE TRABAJADORES MUNICIPALES DE LORETO - FETRAMUN LORETO,,FEDERACIÓN,,2023-07-16 18:56:26,,
68,20043143,FEDERACION DE TRABAJADORES MUNICIPALES DEL PERU -FETRAMUNP,20053180,FEDERACIÓN,,2023-07-16 18:56:26,2024-12-24 05:51:43,
69,20213873,FEDERACION DE TRABAJADORES PROFESIONALES TECNICOS Y AUXILIARES ASISTENCIALES DE SALUD LIMA Y PROVINCIAS,,FEDERACIÓN,,2023-07-16 18:56:26,,
70,20181293,FEDERACION DE TRABAJADORES PUBLICOS DE LA REGION UCAYALI,20223912,FEDERACIÓN,,2023-07-16 18:56:26,2025-02-26 16:37:41,
71,20213048,FEDERACION DE TRABAJADORES PUBLICOS DE LORETO - CTP - FEDTLORETO -CTP,,FEDERACIÓN,,2023-07-16 18:56:26,,
72,20213879,FEDERACION DE TRABAJADORES TECNICOS PROFESIOANLES Y AUXILIARES ASISTENCIALES DE SALUD-LIMA-FETTPAAS,,FEDERACIÓN,,2023-07-16 18:56:26,,
73,20213864,FEDERACION FUERZA SINDICAL DE LA SUNAT - FUERZA SINDICAL SUNAT,,FEDERACIÓN,,2023-07-16 18:56:26,,
74,20182835,FEDERACION INTERSECTORIAL DE TRABAJADORES ESTATALES DE LA REGION AREQUIPA,,FEDERACIÓN,,2023-07-16 18:56:26,,
75,20093354,FEDERACION MEDICA DE LA SEGURIDAD SOCIAL - RED ASISTENCIAL REBAGLIATTI - ALMENARA - ESSALUD,,FEDERACIÓN,,2023-07-16 18:56:26,,
76,20093353,FEDERACION MEDICA DE LA SEGURIDAD SOCIAL PERUANA - ESSALUD,,FEDERACIÓN,,2023-07-16 18:56:26,,
77,20120673,FEDERACION NACIONAL AMBIENTAL DE TRABAJADORES DEL SECTOR PUBLICO Y PRIVADO DEL PERU FENATSPP,,FEDERACIÓN,,2023-07-16 18:56:26,,
78,20223896,FEDERACION NACIONAL CENTRO UNITARIO DE TRABAJADORES DEL SEGURO SOCIAL DE SALUD-ESSALUD-FENCUT,20223912,FEDERACIÓN,,2023-07-16 18:56:26,2026-01-26 12:05:20,
79,20133553,FEDERACION NACIONAL DE AUXILIARES DE EDUCACION DEL PERU - FENAEP,,FEDERACIÓN,,2023-07-16 18:56:26,,
80,20173724,FEDERACION NACIONAL DE BIOLOGOS DEL PERU-FENABIOL-PERU,,FEDERACIÓN,,2023-07-16 18:56:26,,
81,20133563,FEDERACION NACIONAL DE CIRUJANOS DENTISTAS DEL MINISTERIO DE SALUD DEL PERU - FEDECIDEMINSAP,,FEDERACIÓN,,2023-07-16 18:56:26,,
